Age,Income,Emp_length,Amount,Rate,Status,Percent_income,Cred_length,Home_OTHER,Home_OWN,Home_RENT,Intent_EDUCATION,Intent_HOMEIMPROVEMENT,Intent_MEDICAL,Intent_PERSONAL,Intent_VENTURE,Default
33,0.021847898599066044,0.0,0.4927536231884057,11.83,0,0.15662650602409642,8,0,1,0,0,0,0,1,0,0
22,0.002134756504336224,2.0,0.10144927536231883,14.27,1,0.2891566265060241,4,0,0,1,0,0,0,0,0,0
24,0.010264176117411608,4.0,0.13043478260869565,10.74,0,0.0963855421686747,2,0,1,0,1,0,0,0,0,0
27,0.0023007004669779855,4.0,0.06231884057971014,10.99,0,0.18072289156626506,8,0,1,0,0,0,1,0,0,0
38,0.008505670446964642,3.0,0.3913043478260869,13.22,0,0.30120481927710846,13,0,0,0,0,0,1,0,0,0
26,0.006041360907271515,0.0,0.18840579710144925,7.4,0,0.20481927710843376,2,0,0,0,0,0,0,1,0,0
47,0.029019346230820548,31.0,0.24637681159420288,10.99,0,0.06024096385542169,17,0,1,0,0,0,0,0,1,0
27,0.014342895263509008,0.0,0.5652173913043479,6.54,0,0.26506024096385544,9,0,0,1,0,0,0,0,0,0
22,0.006837891927951968,6.0,0.12318840579710146,6.39,0,0.13253012048192772,2,0,1,0,1,0,0,0,0,0
21,0.008338892595063374,4.0,0.2753623188405797,10.99,0,0.22891566265060243,4,0,0,0,0,0,0,1,0,0
29,0.03135423615743829,6.0,0.42028985507246375,14.27,0,0.0963855421686747,6,0,0,0,0,0,0,0,1,1
27,0.022846397598398935,5.0,0.17246376811594202,5.99,0,0.06024096385542169,6,0,0,0,0,0,0,0,1,0
21,0.01134089392928619,5.0,0.6811594202898551,7.49,0,0.3975903614457832,3,0,0,0,0,0,0,0,0,0
29,0.010173448965977317,2.0,0.18840579710144925,7.29,0,0.13253012048192772,6,0,0,0,0,0,0,0,0,0
45,0.0190126751167445,11.0,0.263768115942029,13.99,1,0.0963855421686747,12,0,0,0,1,0,0,0,0,1
23,0.005837224816544363,7.0,0.07246376811594203,10.62,0,0.0963855421686747,2,0,1,0,0,0,1,0,0,0
41,0.0063375583722481655,0.0,0.10144927536231883,13.43,0,0.12048192771084339,14,0,0,1,0,0,0,0,1,0
23,0.014759839893262176,6.0,0.05797101449275363,10.74,0,0.03614457831325301,3,0,0,1,0,0,0,0,1,0
21,0.003501667778519013,1.0,0.08985507246376812,14.09,1,0.16867469879518077,3,0,0,1,0,0,1,0,0,0
22,0.003602401601067378,5.0,0.24637681159420288,8.9,1,0.42168674698795183,4,0,0,1,0,0,0,0,1,0
43,0.009506337558372248,3.0,0.4492753623188405,10.99,1,0.31325301204819284,17,0,0,0,0,0,0,0,0,1
27,0.007838559039359573,1.0,0.2753623188405797,6.99,1,0.24096385542168677,5,0,0,0,0,1,0,0,0,0
27,0.006837891927951968,1.0,0.2753623188405797,9.2,0,0.26506024096385544,10,0,0,1,0,0,1,0,0,0
29,0.007338225483655771,5.0,0.2753623188405797,12.73,0,0.2530120481927711,7,0,0,0,1,0,0,0,0,1
48,0.010078385590393597,14.0,0.42028985507246375,10.99,1,0.24096385542168677,12,0,0,0,0,0,1,0,0,1
26,0.019346230820547032,10.0,0.15942028985507245,9.88,0,0.06024096385542169,4,0,0,1,0,0,0,0,0,0
21,0.004280186791194129,5.0,0.13043478260869565,13.57,1,0.20481927710843376,4,0,0,0,0,0,0,0,0,1
24,0.00867244829886591,8.0,0.13043478260869565,14.27,0,0.10843373493975904,4,0,0,1,0,0,0,1,0,0
32,0.012341561040693796,0.0,0.36231884057971014,12.87,0,0.20481927710843376,10,0,0,1,1,0,0,0,0,1
22,0.010174116077384922,6.0,0.14492753623188404,6.03,0,0.0963855421686747,2,0,0,0,0,0,1,0,0,0
23,0.016144096064042695,4.0,0.5652173913043479,7.9,0,0.24096385542168677,4,0,0,0,0,0,0,0,0,0
24,0.009639759839893264,2.0,0.42028985507246375,10.99,0,0.2891566265060241,4,0,0,1,0,0,0,0,0,0
33,0.0057371581054036025,6.0,0.28985507246376807,11.99,0,0.32530120481927716,8,0,0,1,0,0,1,0,0,0
27,0.0033355570380253505,0.0,0.10144927536231883,12.87,0,0.20481927710843376,10,0,0,1,0,0,0,0,0,0
30,0.01684456304202802,6.0,0.2753623188405797,5.99,0,0.12048192771084339,8,0,0,0,1,0,0,0,0,0
23,0.013342228152101402,5.0,0.15942028985507245,6.99,0,0.08433734939759038,3,0,0,1,0,0,0,0,1,0
27,0.0045363575717144765,3.0,0.18840579710144925,9.88,0,0.26506024096385544,9,0,0,1,0,0,0,1,0,0
23,0.013175450300200134,7.0,0.686231884057971,11.11,1,0.3493975903614458,2,0,0,0,1,0,0,0,0,0
23,0.004336224149432955,2.0,0.17101449275362318,10.99,0,0.2530120481927711,3,0,0,1,0,0,1,0,0,0
32,0.010673782521681122,16.0,0.13043478260869565,15.7,0,0.08433734939759038,7,0,0,1,0,0,0,0,1,0
33,0.005170113408939293,0.0,0.10144927536231883,7.88,0,0.13253012048192772,5,0,0,1,0,0,1,0,0,0
25,0.009305537024683123,4.0,0.18840579710144925,9.63,0,0.14457831325301204,2,0,0,0,0,1,0,0,0,0
42,0.007742828552368246,0.0,0.1072463768115942,7.49,0,0.0963855421686747,14,0,0,1,0,0,1,0,0,0
28,0.01350900600400267,3.0,0.18840579710144925,8.59,0,0.0963855421686747,5,0,0,0,0,0,0,0,0,0
28,0.012341561040693796,0.0,0.7101449275362319,10.99,1,0.3855421686746988,5,0,0,1,0,0,0,1,0,1
35,0.005670446964643095,10.0,0.263768115942029,7.49,0,0.30120481927710846,9,0,0,0,0,0,0,0,1,0
30,0.01350900600400267,14.0,0.15942028985507245,5.42,0,0.08433734939759038,8,0,0,0,0,0,1,0,0,0
33,0.028519012675116747,4.0,0.7101449275362319,10.75,0,0.16867469879518077,9,0,0,0,0,0,0,0,0,0
23,0.015176784523015345,7.0,0.9999999999999999,7.9,0,0.44578313253012053,4,0,0,0,1,0,0,0,0,0
31,0.01167911941294196,5.0,0.42028985507246375,10.59,0,0.24096385542168677,9,0,0,1,1,0,0,0,0,0
23,0.008005336891260841,8.0,0.17681159420289852,7.49,0,0.15662650602409642,3,0,0,1,0,0,0,0,0,0
26,0.008005336891260841,10.0,0.2971014492753623,9.62,0,0.2530120481927711,2,0,0,0,0,1,0,0,0,0
26,0.005727151434289527,7.0,0.05797101449275363,12.18,1,0.08433734939759038,4,0,0,0,0,0,0,1,0,0
30,0.010614076050700468,5.0,0.47826086956521735,11.58,0,0.30120481927710846,6,0,0,0,0,0,0,1,0,0
37,0.03035356904603069,7.0,0.07246376811594203,6.39,0,0.024096385542168676,13,0,1,0,0,0,0,0,1,0
22,0.006837891927951968,4.0,0.2753623188405797,10.65,0,0.26506024096385544,3,0,0,1,1,0,0,0,0,0
24,0.007671781187458306,8.0,0.3405797101449275,14.72,0,0.2891566265060241,3,0,0,1,0,1,0,0,0,1
30,0.007338225483655771,13.0,0.30289855072463767,10.99,0,0.2771084337349398,9,0,0,0,0,0,0,0,1,0
28,0.013742494996664443,0.0,0.4492753623188405,14.09,0,0.22891566265060243,6,0,0,0,1,0,0,0,0,1
22,0.0018345563709139426,0.0,0.014492753623188404,14.3,1,0.08433734939759038,3,0,0,1,0,0,1,0,0,1
22,0.008739159439626418,6.0,0.7101449275362319,16.4,1,0.5301204819277109,3,0,0,0,0,0,0,1,0,0
26,0.0034189459639759837,4.0,0.24275362318840576,10.0,1,0.43373493975903615,2,0,0,1,0,0,0,1,0,0
21,0.01200800533689126,6.0,0.3913043478260869,12.69,0,0.21686746987951808,3,0,0,0,0,0,1,0,0,0
24,0.013592394929953303,8.0,0.5847826086956522,10.0,0,0.2891566265060241,2,0,0,0,1,0,0,0,0,0
29,0.007338225483655771,13.0,0.2753623188405797,7.51,0,0.2530120481927711,10,0,0,1,0,0,0,0,1,0
22,0.004936624416277518,1.0,0.13043478260869565,18.25,0,0.18072289156626506,2,0,1,0,0,0,0,0,0,0
22,0.0063375583722481655,4.0,0.0782608695652174,7.9,1,0.0963855421686747,3,0,0,0,0,0,0,0,0,0
31,0.013926617745163444,14.0,0.3521739130434782,8.9,0,0.16867469879518077,10,0,0,0,0,0,1,0,0,0
28,0.024349566377585057,12.0,0.2753623188405797,10.99,0,0.08433734939759038,6,0,0,0,1,0,0,0,0,1
25,0.01734489659773182,8.0,0.42028985507246375,6.62,0,0.16867469879518077,2,0,0,0,0,0,0,0,1,0
31,0.010173448965977317,3.0,0.2753623188405797,13.61,0,0.18072289156626506,6,0,0,0,0,0,0,0,0,0
24,0.016847565043362243,8.0,0.7971014492753623,15.62,0,0.32530120481927716,4,0,0,0,0,1,0,0,0,1
22,0.0033355570380253505,5.0,0.13043478260869565,7.9,0,0.2530120481927711,2,0,0,0,1,0,0,0,0,0
22,0.026017344896597735,0.0,0.2753623188405797,8.94,0,0.07228915662650602,3,0,0,1,0,0,0,0,1,0
26,0.021013342228152102,6.0,0.7101449275362319,10.75,0,0.22891566265060243,3,0,0,1,0,0,0,1,0,0
25,0.024349566377585057,9.0,0.7101449275362319,10.37,0,0.20481927710843376,2,0,0,0,0,1,0,0,0,0
22,0.0045030020013342225,5.0,0.40579710144927533,11.58,1,0.5662650602409639,3,0,0,1,0,0,0,1,0,0
23,0.01134089392928619,7.0,0.15869565217391302,10.99,0,0.0963855421686747,3,0,0,0,0,0,1,0,0,0
24,0.011674449633088727,1.0,0.2753623188405797,14.54,1,0.16867469879518077,2,0,0,1,0,1,0,0,0,0
41,0.01817878585723816,1.0,0.3333333333333333,16.0,1,0.13253012048192772,15,0,0,1,0,0,0,1,0,0
35,0.005740493662441628,0.0,0.06014492753623188,15.96,1,0.08433734939759038,7,0,0,1,1,0,0,0,0,1
24,0.012675116744496333,6.0,0.7101449275362319,6.62,1,0.3734939759036145,2,0,0,1,1,0,0,0,0,0
22,0.004336224149432955,3.0,0.10144927536231883,7.9,0,0.15662650602409642,3,0,0,1,1,0,0,0,0,0
23,0.008338892595063374,3.0,0.20289855072463767,11.03,1,0.16867469879518077,3,0,0,0,0,0,1,0,0,1
33,0.015343562374916613,0.0,0.21739130434782605,13.72,0,0.0963855421686747,9,0,0,0,0,0,0,0,1,0
30,0.015343562374916613,11.0,0.3333333333333333,9.99,0,0.15662650602409642,7,0,0,0,0,0,1,0,0,0
24,0.007338225483655771,8.0,0.15942028985507245,12.22,0,0.15662650602409642,4,0,0,1,0,0,1,0,0,1
21,0.00867244829886591,5.0,0.42028985507246375,16.0,1,0.32530120481927716,2,0,0,1,0,0,1,0,0,0
32,0.021014009339559707,12.0,0.46376811594202894,5.42,0,0.15662650602409642,8,0,0,0,0,0,1,0,0,0
22,0.024349566377585057,3.0,0.7101449275362319,11.11,0,0.20481927710843376,3,0,0,0,0,0,0,0,1,0
21,0.010174116077384922,5.0,0.13043478260869565,9.99,0,0.0963855421686747,4,0,0,0,1,0,0,0,0,0
22,0.00933955970647098,2.0,0.472463768115942,14.65,0,0.33734939759036153,4,0,0,1,0,0,1,0,0,1
32,0.005503669112741828,16.0,0.24637681159420288,6.92,0,0.2891566265060241,8,0,0,1,0,0,1,0,0,0
27,0.0190126751167445,3.0,0.2753623188405797,6.17,0,0.0963855421686747,6,0,0,0,0,0,0,1,0,0
27,0.006671781187458306,2.0,0.2753623188405797,6.92,0,0.2771084337349398,9,0,0,0,0,0,1,0,0,0
24,0.005170113408939293,8.0,0.043478260869565216,10.37,0,0.07228915662650602,2,0,0,0,0,0,0,0,1,0
22,0.004086057371581054,1.0,0.028985507246376812,10.99,0,0.06024096385542169,4,0,0,1,1,0,0,0,0,0
25,0.02268178785857238,9.0,0.5652173913043479,6.54,0,0.16867469879518077,4,0,0,1,1,0,0,0,0,0
37,0.008655770513675783,1.0,0.47826086956521735,8.7,0,0.3614457831325301,12,0,0,0,0,0,0,1,0,0
28,0.011841227484989992,4.0,0.22898550724637678,11.14,1,0.13253012048192772,5,0,0,1,0,0,0,0,0,0
26,0.011841227484989992,9.0,0.10144927536231883,12.99,0,0.06024096385542169,2,0,0,0,1,0,0,0,0,0
25,0.009619746497665109,1.0,0.20579710144927535,13.23,1,0.14457831325301204,4,0,0,1,0,0,0,0,1,0
25,0.007338225483655771,0.0,0.07246376811594203,13.47,0,0.07228915662650602,4,0,0,1,1,0,0,0,0,1
23,0.008498999332888592,7.0,0.14492753623188404,6.03,0,0.12048192771084339,3,0,0,0,1,0,0,0,0,0
27,0.004336224149432955,6.0,0.03768115942028985,14.84,0,0.07228915662650602,5,0,1,0,1,0,0,0,0,1
22,0.027018012008005337,1.0,0.6652173913043479,11.36,0,0.16867469879518077,3,0,0,0,1,0,0,0,0,0
35,0.00933955970647098,9.0,0.6811594202898551,12.53,0,0.48192771084337355,9,0,1,0,0,0,0,1,0,0
28,0.006004002668445631,9.0,0.5420289855072464,9.91,0,0.5783132530120482,6,0,0,0,0,0,0,0,0,0
22,0.009573382254836556,7.0,0.2985507246376811,9.99,0,0.21686746987951808,2,0,0,0,1,0,0,0,0,0
32,0.007671781187458306,1.0,0.20289855072463767,10.39,0,0.18072289156626506,7,0,0,0,0,0,1,0,0,0
25,0.007171447631754503,4.0,0.5362318840579711,11.99,1,0.48192771084337355,2,0,0,1,0,0,1,0,0,0
40,0.038192128085390256,6.0,0.42028985507246375,11.83,0,0.07228915662650602,12,0,0,0,0,0,0,0,1,0
30,0.004471147431621081,1.0,0.31014492753623185,11.99,1,0.43373493975903615,8,0,0,1,0,0,1,0,0,0
23,0.00933955970647098,6.0,0.6231884057971014,10.25,1,0.44578313253012053,4,0,0,1,0,0,0,0,0,0
29,0.01634422948632422,10.0,0.5072463768115942,9.33,0,0.21686746987951808,7,0,1,0,0,0,1,0,0,0
